Success,Nodes,Depth,MaxReward,Scrambles,Elapsed
True,48,4,1.0,3,0.87
True,48,4,1.0,3,0.76
True,63,4,1.0,3,0.75
True,33,3,1.0,3,0.74
True,48,4,1.0,3,0.73
True,603,6,1.0,4,1.19
True,108,5,1.0,4,0.79
True,93,5,1.0,4,0.83
True,78,5,1.0,4,0.83
True,1038,8,1.0,4,1.47
